Date,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2021-11-19 00:00:00,AAPL211119P00045000,2021-11-18 10:08AM EST,45.0,0.01,0.0,0.01,0.0,-,2,175,750.00%
2021-11-19 00:00:00,AAPL211119P00050000,2021-11-17 9:34AM EST,50.0,0.01,0.0,0.01,0.0,-,1,6,675.00%
2021-11-19 00:00:00,AAPL211119P00055000,2021-10-12 1:26PM EST,55.0,0.01,0.0,0.01,0.0,-,1,21,625.00%
2021-11-19 00:00:00,AAPL211119P00060000,2021-11-18 12:31PM EST,60.0,0.01,0.0,0.01,0.0,-,1,254,575.00%
2021-11-19 00:00:00,AAPL211119P00065000,2021-10-29 12:17PM EST,65.0,0.01,0.0,0.01,0.0,-,11,2421,537.50%
2021-11-19 00:00:00,AAPL211119P00070000,2021-11-18 3:55PM EST,70.0,0.01,0.0,0.01,0.0,-,15,1010,487.50%
2021-11-19 00:00:00,AAPL211119P00075000,2021-11-15 9:30AM EST,75.0,0.01,0.0,0.01,0.0,-,2,878,450.00%
2021-11-19 00:00:00,AAPL211119P00080000,2021-11-10 10:15AM EST,80.0,0.01,0.0,0.01,0.0,-,3,2648,412.50%
2021-11-19 00:00:00,AAPL211119P00085000,2021-11-04 1:26PM EST,85.0,0.01,0.0,0.01,0.0,-,4,1603,375.00%
2021-11-19 00:00:00,AAPL211119P00090000,2021-11-15 10:34AM EST,90.0,0.01,0.0,0.01,0.0,-,4,2116,350.00%
2021-11-19 00:00:00,AAPL211119P00095000,2021-11-16 11:27AM EST,95.0,0.01,0.0,0.01,0.0,-,10,1789,312.50%
2021-11-19 00:00:00,AAPL211119P00100000,2021-11-18 12:01PM EST,100.0,0.01,0.0,0.01,0.0,-,30,12560,287.50%
2021-11-19 00:00:00,AAPL211119P00105000,2021-11-10 10:12AM EST,105.0,0.01,0.0,0.01,0.0,-,7,9875,262.50%
2021-11-19 00:00:00,AAPL211119P00110000,2021-11-17 10:50AM EST,110.0,0.01,0.0,0.01,0.0,-,20,9889,231.25%
2021-11-19 00:00:00,AAPL211119P00115000,2021-11-19 9:30AM EST,115.0,0.01,0.0,0.01,0.0,-,1,12951,206.25%
2021-11-19 00:00:00,AAPL211119P00120000,2021-11-19 10:49AM EST,120.0,0.01,0.0,0.01,0.0,-,1,24649,181.25%
2021-11-19 00:00:00,AAPL211119P00125000,2021-11-19 9:49AM EST,125.0,0.01,0.0,0.01,0.0,-,4,26181,156.25%
2021-11-19 00:00:00,AAPL211119P00130000,2021-11-19 11:36AM EST,130.0,0.01,0.0,0.01,0.0,-,11,37410,134.38%
2021-11-19 00:00:00,AAPL211119P00132000,2021-11-18 1:00PM EST,132.0,0.01,0.0,0.01,0.0,-,104,2562,125.00%
2021-11-19 00:00:00,AAPL211119P00133000,2021-11-18 3:18PM EST,133.0,0.01,0.0,0.01,0.0,-,68,900,118.75%
2021-11-19 00:00:00,AAPL211119P00134000,2021-11-18 3:13PM EST,134.0,0.01,0.0,0.01,0.0,-,13,3695,115.63%
2021-11-19 00:00:00,AAPL211119P00135000,2021-11-19 11:12AM EST,135.0,0.01,0.0,0.01,0.0,-,14,18816,112.50%
2021-11-19 00:00:00,AAPL211119P00136000,2021-11-18 2:32PM EST,136.0,0.01,0.0,0.01,0.0,-,30,2664,106.25%
2021-11-19 00:00:00,AAPL211119P00137000,2021-11-19 11:00AM EST,137.0,0.01,0.0,0.01,0.0,-,37,4570,103.13%
2021-11-19 00:00:00,AAPL211119P00138000,2021-11-19 10:20AM EST,138.0,0.01,0.0,0.01,0.0,-,23,4086,96.88%
2021-11-19 00:00:00,AAPL211119P00139000,2021-11-19 10:45AM EST,139.0,0.01,0.0,0.01,0.0,-,113,4633,93.75%
2021-11-19 00:00:00,AAPL211119P00140000,2021-11-19 11:23AM EST,140.0,0.01,0.0,0.01,0.0,-,158,35169,87.50%
2021-11-19 00:00:00,AAPL211119P00141000,2021-11-19 11:10AM EST,141.0,0.01,0.0,0.01,-0.01,-50.00%,509,3574,84.38%
2021-11-19 00:00:00,AAPL211119P00142000,2021-11-19 11:10AM EST,142.0,0.01,0.0,0.01,-0.01,-50.00%,331,8733,81.25%
2021-11-19 00:00:00,AAPL211119P00143000,2021-11-19 11:23AM EST,143.0,0.01,0.0,0.01,0.0,-,251,7487,75.00%
2021-11-19 00:00:00,AAPL211119P00144000,2021-11-19 11:15AM EST,144.0,0.01,0.0,0.01,-0.01,-50.00%,260,9444,71.88%
2021-11-19 00:00:00,AAPL211119P00145000,2021-11-19 11:44AM EST,145.0,0.01,0.0,0.01,0.0,-,619,28250,67.19%
2021-11-19 00:00:00,AAPL211119P00146000,2021-11-19 11:40AM EST,146.0,0.01,0.0,0.01,-0.01,-50.00%,612,11682,62.50%
2021-11-19 00:00:00,AAPL211119P00147000,2021-11-19 11:44AM EST,147.0,0.01,0.0,0.01,-0.01,-50.00%,1240,20402,59.38%
2021-11-19 00:00:00,AAPL211119P00148000,2021-11-19 11:43AM EST,148.0,0.01,0.0,0.01,0.0,-,615,23009,54.69%
2021-11-19 00:00:00,AAPL211119P00149000,2021-11-19 11:40AM EST,149.0,0.01,0.01,0.01,-0.01,-50.00%,523,23436,53.91%
2021-11-19 00:00:00,AAPL211119P00150000,2021-11-19 11:47AM EST,150.0,0.01,0.0,0.01,-0.02,-66.67%,2830,46695,49.22%
2021-11-19 00:00:00,AAPL211119P00152500,2021-11-19 11:42AM EST,152.5,0.01,0.0,0.01,-0.03,-75.00%,11347,29296,37.50%
